country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Riau,2019,52352899
Indonesia,Sulawesi Barat,2019,8485704
Indonesia,Sulawesi Selatan,2019,14117374
Indonesia,Sulawesi Tengah,2019,30666808
Indonesia,Sulawesi Tenggara,2019,23664448
Indonesia,Sulawesi Utara,2019,6494344
Indonesia,Sumatera Barat,2019,17571084
Indonesia,Sumatera Selatan,2019,65511821
Indonesia,Sumatera Utara,2019,22807030
Indonesia,Yogyakarta,2019,37250
Indonesia,Aceh,2020,18680978
Indonesia,Bali,2020,109000
Indonesia,Bangka Belitung,2020,12084016
Indonesia,Banten,2020,1277439
